# t=time;g=gyro;a=accel;e=euler;c=commanded
# t1,g1,g2,g3,a1,a2,a3,e1,e2,c1,c2,c3,c4,c5
4.869999999937135726e-01,0.000000000000000000e+00,1.200000000000000000e+01,6.552400000000000000e+04,1.960000000000000000e+02,6.482400000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.939999999987776391e-01,6.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,1.960000000000000000e+02,6.481800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
5.000000000000000000e-01,6.553000000000000000e+04,6.000000000000000000e+00,1.800000000000000000e+01,1.960000000000000000e+02,6.481200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
5.089999999981955625e-01,6.553000000000000000e+04,6.000000000000000000e+00,6.553000000000000000e+04,1.970000000000000000e+02,6.480600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
5.139999999955762178e-01,6.553000000000000000e+04,2.400000000000000000e+01,6.553000000000000000e+04,1.970000000000000000e+02,6.480100000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
5.229999999937717803e-01,6.000000000000000000e+00,6.000000000000000000e+00,1.800000000000000000e+01,1.980000000000000000e+02,6.479500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
5.299999999988358468e-01,6.552400000000000000e+04,0.000000000000000000e+00,1.200000000000000000e+01,1.980000000000000000e+02,6.478900000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
5.369999999966239557e-01,6.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,1.980000000000000000e+02,6.478300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
5.459999999948195182e-01,0.000000000000000000e+00,2.400000000000000000e+01,6.552400000000000000e+04,1.990000000000000000e+02,6.477700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
5.529999999998835847e-01,0.000000000000000000e+00,2.400000000000000000e+01,1.200000000000000000e+01,1.990000000000000000e+02,6.477100000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
