11:22:31.865,array('B', [0])
11:22:31.876,array('B', [0])
11:22:31.887,array('B', [0])
11:22:31.898,array('B', [0])
11:22:31.909,array('B', [0])
11:22:31.920,array('B', [0])
11:22:31.931,array('B', [0])
11:22:31.942,array('B', [0])
11:22:31.954,array('B', [0])
11:22:31.965,array('B', [0])
11:22:31.976,array('B', [0])
11:22:31.987,array('B', [0])
11:22:31.998,array('B', [0])
11:22:32.165,array('B', [0])
11:22:32.176,array('B', [0])
11:22:32.187,array('B', [0])
11:22:32.198,array('B', [0])
11:22:32.209,array('B', [0])
11:22:32.220,array('B', [0])
11:22:32.231,array('B', [0])
11:22:32.242,array('B', [0])
11:22:32.253,array('B', [0])
11:22:32.264,array('B', [0])
11:22:32.276,array('B', [0])
11:22:32.288,array('B', [0])
11:22:32.299,array('B', [0])
11:22:32.310,array('B', [0])
11:22:32.322,array('B', [0])
11:22:32.333,array('B', [0])
11:22:32.343,array('B', [0])
11:22:32.354,array('B', [0])
11:22:32.366,array('B', [0])
11:22:32.377,array('B', [0])
11:22:32.387,array('B', [0])
11:22:32.554,array('B', [0])
11:22:32.566,array('B', [0])
11:22:32.577,array('B', [0])
11:22:32.589,array('B', [0])
11:22:32.600,array('B', [0])
11:22:32.611,array('B', [0])
11:22:32.623,array('B', [0])
11:22:32.634,array('B', [0])
11:22:32.645,array('B', [0])
11:22:32.656,array('B', [0])
11:22:32.667,array('B', [0])
11:22:32.679,array('B', [0])
11:22:32.690,array('B', [0])
11:22:32.701,array('B', [0])
11:22:32.712,array('B', [0])
11:22:32.724,array('B', [0])
11:22:32.735,array('B', [0])
11:22:32.919,array('B', [0])
11:22:32.930,array('B', [0])
11:22:32.940,array('B', [0])
11:22:32.951,array('B', [0])
11:22:32.962,array('B', [0])
11:22:32.973,array('B', [0])
11:22:32.984,array('B', [0])
11:22:32.994,array('B', [0])
11:22:33.006,array('B', [0])
11:22:33.017,array('B', [0])
11:22:33.028,array('B', [0])
11:22:33.040,array('B', [0])
11:22:33.051,array('B', [0])
11:22:33.062,array('B', [0])
11:22:33.073,array('B', [0])
11:22:33.084,array('B', [0])
11:22:33.096,array('B', [0])
11:22:33.107,array('B', [0])
11:22:33.118,array('B', [0])
11:22:33.288,array('B', [0])
11:22:33.299,array('B', [0])
11:22:33.311,array('B', [0])
11:22:33.322,array('B', [0])
11:22:33.332,array('B', [0])
11:22:33.344,array('B', [0])
11:22:33.355,array('B', [0])
11:22:33.366,array('B', [0])
11:22:33.377,array('B', [0])
11:22:33.388,array('B', [0])
11:22:33.400,array('B', [0])
11:22:33.411,array('B', [0])
11:22:33.422,array('B', [0])
11:22:33.433,array('B', [0])
11:22:33.444,array('B', [0])
11:22:33.455,array('B', [0])
11:22:33.467,array('B', [0])
11:22:33.478,array('B', [0])
11:22:33.489,array('B', [0])
11:22:33.657,array('B', [0])
11:22:33.668,array('B', [0])
11:22:33.680,array('B', [0])
11:22:33.691,array('B', [0])
11:22:33.702,array('B', [0])
11:22:33.714,array('B', [0])
11:22:33.724,array('B', [0])
11:22:33.735,array('B', [0])
11:22:33.746,array('B', [0])
11:22:33.757,array('B', [0])
11:22:33.768,array('B', [0])
11:22:33.779,array('B', [0])
11:22:33.791,array('B', [0])
11:22:33.802,array('B', [0])
11:22:33.813,array('B', [0])
11:22:33.824,array('B', [0])
11:22:33.835,array('B', [0])
11:22:33.846,array('B', [0])
11:22:34.018,array('B', [0])
11:22:34.030,array('B', [0])
11:22:34.041,array('B', [0])
11:22:34.053,array('B', [0])
11:22:34.064,array('B', [0])
11:22:34.075,array('B', [0])
11:22:34.086,array('B', [0])
11:22:34.097,array('B', [0])
11:22:34.108,array('B', [0])
11:22:34.122,array('B', [0])
11:22:34.133,array('B', [0])
11:22:34.144,array('B', [0])
11:22:34.156,array('B', [0])
11:22:34.167,array('B', [0])
11:22:34.178,array('B', [0])
11:22:34.190,array('B', [0])
11:22:34.201,array('B', [0])
11:22:34.213,array('B', [0])
11:22:34.391,array('B', [0])
11:22:34.403,array('B', [0])
11:22:34.414,array('B', [0])
11:22:34.424,array('B', [0])
11:22:34.436,array('B', [0])
11:22:34.448,array('B', [0])
11:22:34.459,array('B', [0])
11:22:34.470,array('B', [0])
11:22:34.481,array('B', [0])
11:22:34.493,array('B', [0])
11:22:34.504,array('B', [0])
11:22:34.515,array('B', [0])
11:22:34.527,array('B', [0])
11:22:34.538,array('B', [0])
11:22:34.549,array('B', [0])
11:22:34.560,array('B', [0])
11:22:34.571,array('B', [0])
11:22:34.584,array('B', [0])
11:22:34.754,array('B', [0])
11:22:34.764,array('B', [0])
11:22:34.775,array('B', [0])
11:22:34.786,array('B', [0])
11:22:34.798,array('B', [0])
11:22:34.809,array('B', [0])
11:22:34.820,array('B', [0])
11:22:34.832,array('B', [0])
11:22:34.843,array('B', [0])
11:22:34.854,array('B', [0])
11:22:34.865,array('B', [0])
11:22:34.877,array('B', [0])
11:22:34.889,array('B', [0])
11:22:34.900,array('B', [0])
11:22:34.910,array('B', [0])
11:22:34.922,array('B', [0])
11:22:34.933,array('B', [0])
11:22:34.944,array('B', [0])
11:22:34.956,array('B', [0])
11:22:34.966,array('B', [0])
11:22:34.977,array('B', [0])
11:22:34.987,array('B', [0])
11:22:35.168,array('B', [0])
11:22:35.180,array('B', [0])
11:22:35.191,array('B', [0])
11:22:35.203,array('B', [0])
11:22:35.214,array('B', [0])
11:22:35.225,array('B', [0])
11:22:35.235,array('B', [0])
11:22:35.246,array('B', [0])
11:22:35.256,array('B', [0])
11:22:35.267,array('B', [0])
11:22:35.278,array('B', [0])
11:22:35.289,array('B', [0])
11:22:35.301,array('B', [0])
11:22:35.311,array('B', [0])
11:22:35.322,array('B', [0])
11:22:35.333,array('B', [0])
11:22:35.345,array('B', [0])
11:22:35.356,array('B', [0])
11:22:35.368,array('B', [0])
11:22:35.379,array('B', [0])
11:22:35.544,array('B', [0])
11:22:35.555,array('B', [0])
11:22:35.567,array('B', [0])
11:22:35.578,array('B', [0])
11:22:35.589,array('B', [0])
11:22:35.601,array('B', [0])
11:22:35.612,array('B', [0])
11:22:35.624,array('B', [0])
11:22:35.635,array('B', [0])
11:22:35.646,array('B', [0])
11:22:35.657,array('B', [0])
11:22:35.668,array('B', [0])
11:22:35.679,array('B', [0])
11:22:35.690,array('B', [0])
11:22:35.702,array('B', [0])
11:22:35.712,array('B', [0])
11:22:35.723,array('B', [0])
11:22:35.734,array('B', [0])
11:22:35.900,array('B', [0])
11:22:35.912,array('B', [0])
11:22:35.923,array('B', [0])
11:22:35.934,array('B', [0])
11:22:35.945,array('B', [0])
11:22:35.956,array('B', [0])
11:22:35.966,array('B', [0])
11:22:35.977,array('B', [0])
11:22:35.988,array('B', [0])
11:22:35.999,array('B', [0])
11:22:36.010,array('B', [0])
11:22:36.021,array('B', [0])
11:22:36.032,array('B', [0])
11:22:36.043,array('B', [0])
11:22:36.055,array('B', [0])
11:22:36.066,array('B', [0])
11:22:36.077,array('B', [0])
11:22:36.089,array('B', [0])
