16:31:07.227,array('B', [0])
16:31:07.238,array('B', [0])
16:31:07.255,array('B', [0])
16:31:07.266,array('B', [0])
16:31:07.280,array('B', [0])
16:31:07.291,array('B', [0])
16:31:07.311,array('B', [0])
16:31:07.322,array('B', [0])
16:31:07.347,array('B', [0])
16:31:07.358,array('B', [0])
16:31:07.379,array('B', [0])
16:31:07.390,array('B', [0])
16:31:07.409,array('B', [0])
16:31:07.420,array('B', [0])
16:31:07.441,array('B', [0])
16:31:07.452,array('B', [0])
16:31:07.472,array('B', [0])
16:31:07.484,array('B', [0])
16:31:07.500,array('B', [0])
16:31:07.511,array('B', [0])
16:31:07.532,array('B', [0])
16:31:07.543,array('B', [0])
16:31:07.562,array('B', [0])
16:31:07.574,array('B', [0])
16:31:07.585,array('B', [0])
16:31:07.597,array('B', [0])
16:31:07.616,array('B', [0])
16:31:07.627,array('B', [0])
16:31:07.646,array('B', [0])
16:31:07.657,array('B', [0])
16:31:07.677,array('B', [0])
16:31:07.689,array('B', [0])
16:31:07.708,array('B', [0])
16:31:07.720,array('B', [0])
16:31:07.731,array('B', [0])
16:31:07.754,array('B', [0])
16:31:07.768,array('B', [0])
16:31:07.780,array('B', [0])
16:31:07.806,array('B', [0])
16:31:07.817,array('B', [0])
16:31:07.838,array('B', [0])
16:31:07.851,array('B', [0])
16:31:07.862,array('B', [0])
16:31:07.873,array('B', [0])
16:31:07.884,array('B', [0])
16:31:07.895,array('B', [0])
16:31:07.906,array('B', [0])
16:31:07.922,array('B', [0])
16:31:07.933,array('B', [0])
16:31:07.953,array('B', [0])
16:31:07.964,array('B', [0])
16:31:07.983,array('B', [0])
16:31:07.994,array('B', [0])
16:31:08.023,array('B', [0])
16:31:08.034,array('B', [0])
16:31:08.053,array('B', [0])
16:31:08.065,array('B', [0])
16:31:08.076,array('B', [0])
16:31:08.087,array('B', [0])
16:31:08.114,array('B', [0])
16:31:08.126,array('B', [0])
16:31:08.145,array('B', [0])
16:31:08.156,array('B', [0])
16:31:08.174,array('B', [0])
16:31:08.185,array('B', [0])
16:31:08.198,array('B', [0])
16:31:08.209,array('B', [0])
16:31:08.236,array('B', [0])
16:31:08.247,array('B', [0])
16:31:08.264,array('B', [0])
16:31:08.276,array('B', [0])
16:31:08.287,array('B', [0])
16:31:08.297,array('B', [0])
16:31:08.320,array('B', [0])
16:31:08.331,array('B', [0])
16:31:08.357,array('B', [0])
16:31:08.368,array('B', [0])
16:31:08.380,array('B', [0])
16:31:08.391,array('B', [0])
16:31:08.401,array('B', [0])
16:31:08.419,array('B', [0])
16:31:08.430,array('B', [0])
16:31:08.449,array('B', [0])
16:31:08.460,array('B', [0])
16:31:08.482,array('B', [0])
16:31:08.493,array('B', [0])
16:31:08.512,array('B', [0])
16:31:08.523,array('B', [0])
16:31:08.534,array('B', [0])
16:31:08.545,array('B', [0])
16:31:08.574,array('B', [0])
16:31:08.585,array('B', [0])
16:31:08.601,array('B', [0])
16:31:08.613,array('B', [0])
16:31:08.626,array('B', [0])
16:31:08.636,array('B', [0])
16:31:08.664,array('B', [0])
16:31:08.676,array('B', [0])
16:31:08.687,array('B', [0])
16:31:08.698,array('B', [0])
16:31:08.709,array('B', [0])
16:31:08.721,array('B', [0])
16:31:08.732,array('B', [0])
16:31:08.757,array('B', [0])
16:31:08.769,array('B', [0])
16:31:08.779,array('B', [0])
16:31:08.790,array('B', [0])
16:31:08.801,array('B', [0])
16:31:08.817,array('B', [0])
16:31:08.828,array('B', [0])
16:31:08.840,array('B', [0])
16:31:08.851,array('B', [0])
16:31:08.880,array('B', [0])
16:31:08.891,array('B', [0])
16:31:08.909,array('B', [0])
16:31:08.921,array('B', [0])
16:31:08.939,array('B', [0])
16:31:08.950,array('B', [0])
16:31:08.962,array('B', [0])
16:31:08.973,array('B', [0])
16:31:08.993,array('B', [0])
16:31:09.004,array('B', [0])
16:31:09.024,array('B', [0])
